title,technology,description,url
Exploratory Data Analysis in R,r,Learn how to use graphical and numerical techniques to begin uncovering the structure of your data.,https://www.datacamp.com//courses/exploratory-data-analysis-in-r
Correlation and Regression in R,r,Learn how to describe relationships between two numerical quantities and characterize these relationships graphically.,https://www.datacamp.com//courses/correlation-and-regression-in-r
Introduction to Data in R,r,"Learn the language of data, study types,  sampling strategies, and experimental design.",https://www.datacamp.com//courses/introduction-to-data-in-r
ARIMA Models in R,r,Become an expert in fitting ARIMA (autoregressive integrated moving average) models to time series data using R.,https://www.datacamp.com//courses/arima-models-in-r
Unsupervised Learning in R,r,This course provides an intro to clustering and dimensionality reduction in R from a machine learning perspective.,https://www.datacamp.com//courses/unsupervised-learning-in-r
Visualizing Geospatial Data in R,r,"Learn to read, explore, and manipulate spatial data then use your skills to create informative maps using R.",https://www.datacamp.com//courses/visualizing-geospatial-data-in-r
Introduction to Network Analysis in Python,python,"This course will equip you with the skills to analyze, visualize, and make sense of networks using the NetworkX library.",https://www.datacamp.com//courses/introduction-to-network-analysis-in-python
Supervised Learning with scikit-learn,python,Learn how to build and tune predictive models and evaluate how well they'll perform on unseen data.,https://www.datacamp.com//courses/supervised-learning-with-scikit-learn
Introduction to SQL,sql,"Master the basics of querying tables in relational databases such as MySQL, SQL Server, and PostgreSQL.",https://www.datacamp.com//courses/introduction-to-sql
Case Studies: Manipulating Time Series Data in R,r,Strengthen your knowledge of the topics covered in Manipulating Time Series in R using real case study data.,https://www.datacamp.com//courses/case-studies-manipulating-time-series-data-in-r
Introduction to Deep Learning in Python,python,Learn the fundamentals of neural networks and how to build deep learning models using Keras 2.0.,https://www.datacamp.com//courses/introduction-to-deep-learning-in-python
Object-Oriented Programming with S3 and R6 in R,r,Manage the complexity in your code using object-oriented programming with the S3 and R6 systems.,https://www.datacamp.com//courses/object-oriented-programming-with-s3-and-r6-in-r
Sentiment Analysis in R,r,"Learn sentiment analysis by identifying positive and negative language, specific emotional intent and making compelli...",https://www.datacamp.com//courses/sentiment-analysis-in-r
Cleaning Data in Python,python,This course will equip you with all the skills you need to clean your data in Python.,https://www.datacamp.com//courses/cleaning-data-in-python
Unsupervised Learning in Python,python,"Learn how to cluster, transform, visualize, and extract insights from unlabeled datasets using scikit-learn and scipy.",https://www.datacamp.com//courses/unsupervised-learning-in-python
Visualizing Time Series Data in R,r,"Learn how to visualize time series in R, then practice with a stock-picking case study.",https://www.datacamp.com//courses/visualizing-time-series-data-in-r
Life Insurance Products Valuation in R,r,"Learn the basics of cash flow valuation, work with human mortality data and build life insurance products in R.",https://www.datacamp.com//courses/life-insurance-products-valuation-in-r
Foundations of Probability in R,r,"In this course, you'll learn about the concepts of random variables, distributions, and conditioning.",https://www.datacamp.com//courses/foundations-of-probability-in-r
Scalable Data Processing in R,r,Learn how to write scalable code for working with big data in R using the bigmemory and iotools packages.,https://www.datacamp.com//courses/scalable-data-processing-in-r
Case Study: School Budgeting with Machine Learning i...,python,Learn how to build a model to automatically classify items in a school budget.,https://www.datacamp.com//courses/case-study-school-budgeting-with-machine-learning-in-python
Introduction to R for Finance,r,Learn essential data structures such as lists and data frames and apply that knowledge directly to financial examples.,https://www.datacamp.com//courses/introduction-to-r-for-finance
Intermediate R for Finance,r,"Learn about how dates work in R, and explore the world of if statements, loops, and functions using financial examples.",https://www.datacamp.com//courses/intermediate-r-for-finance
Supervised Learning in R: Classification,r,In this course you will learn the basics of machine learning for classification.,https://www.datacamp.com//courses/supervised-learning-in-r-classification
String Manipulation with stringr in R,r,"Learn how to pull character strings apart, put them back together and use the stringr package.",https://www.datacamp.com//courses/string-manipulation-with-stringr-in-r
Writing Efficient R Code,r,"Learn to write faster R code, discover benchmarking and profiling, and unlock the secrets of parallel programming.",https://www.datacamp.com//courses/writing-efficient-r-code
Forecasting in R,r,Learn how to make predictions about the future using time series forecasting in R.,https://www.datacamp.com//courses/forecasting-in-r
Machine Learning with Tree-Based Models in R,r,"In this course, you'll learn how to use tree-based models and ensembles for regression and classification.",https://www.datacamp.com//courses/machine-learning-with-tree-based-models-in-r
Working with Web Data in R,r,Learn how to efficiently import data from the web into R.,https://www.datacamp.com//courses/working-with-web-data-in-r
Quantitative Risk Management in R,r,"Work with risk-factor return series, study their empirical properties, and make estimates of value-at-risk.",https://www.datacamp.com//courses/quantitative-risk-management-in-r
Spatial Statistics in R,r,Learn how to make sense of spatial data and deal with various classes of statistical problems associated with it.,https://www.datacamp.com//courses/spatial-statistics-in-r
Data Visualization with lattice in R,r,Learn to visualize multivariate datasets using lattice graphics.,https://www.datacamp.com//courses/data-visualization-with-lattice-in-r
Introduction to Spark with sparklyr in R,r,Learn how to analyze huge datasets using Apache Spark and R using the sparklyr package.,https://www.datacamp.com//courses/introduction-to-spark-with-sparklyr-in-r
Data Types for Data Science in Python,python,"Consolidate and extend your knowledge of Python data types such as lists, dictionaries, and tuples, leveraging them t...",https://www.datacamp.com//courses/data-types-for-data-science-in-python
Sentiment Analysis in R: The Tidy Way,r,"In this course, you will the learn principles of sentiment analysis from a tidy data perspective.",https://www.datacamp.com//courses/sentiment-analysis-in-r-the-tidy-way
